Dat;Region_ID;FD_ID;Umsatz
2022-01-21;30;3;6120769,45
2022-01-21;31;1;9111890,51
2022-01-21;32;1;2402296,35
2022-01-21;33;1;2248712,95
2022-01-21;34;3;4797382,6
2022-01-21;35;2;1906065,48
2022-01-21;36;1;8567910,08
2022-01-21;37;1;1320428,18
2022-01-21;38;7;2649817,25
2022-01-21;39;2;480057,06
2022-01-21;40;1;4509420,14
2022-01-21;41;8;1600,08
2022-01-21;42;7;1792472,38
2022-01-21;43;5;1248370,07
2022-01-21;44;1;1028301,34
2022-01-21;45;6;823973,74
2022-01-21;46;1;2090309,87
2022-01-21;47;2;3478968,26
2022-01-21;48;1;5440116,56
2022-01-21;49;8;140491,38
2022-01-21;50;1;28880212,04
2022-01-21;51;2;523206,69
2022-01-21;52;5;6800122,87
2022-01-21;53;2;1180510,52
2022-01-21;54;7;6413203,35
2022-01-21;55;7;1539561,41
2022-01-21;56;5;5308959,53
2022-01-21;57;1;2625825,18
2022-01-21;58;5;1213281,31
2022-01-21;59;5;2367962,86
2022-01-21;60;2;857102,91
2022-01-21;61;3;25243966,09
2022-01-21;62;1;1856885,79
2022-01-21;63;5;9716417,45
2022-01-21;64;5;3092863,92
2022-01-21;65;8;199225,69
2022-01-21;66;6;7994078,09
2022-01-21;67;1;1694186,88
2022-01-21;68;1;1849981,62
2022-01-21;69;1;2828860,97
2022-01-21;70;7;799364,24
2022-01-21;71;1;5197144,63
2022-01-21;72;6;2565748,88
2022-01-21;73;5;5714213,24
2022-01-21;74;6;5800113,96
2022-01-21;75;8;1149756,94
2022-01-21;76;1;4887233,21
2022-01-21;77;1;102402906,1
2022-01-21;78;2;18690759,5
2022-01-21;86;6;3739314,11
2022-01-21;87;8;22463,55
2022-01-21;89;6;835332,89
2022-01-21;91;3;283851,47
2022-01-21;92;3;13219,64
2022-01-21;94;3;193557,25
2022-01-22;01;3;376855,51
2022-01-22;02;5;6096138,34
2022-01-22;03;8;69871,23
2022-01-22;04;7;114520,78
2022-01-22;05;4;206475,9
2022-01-22;06;4;42229,6
2022-01-22;07;4;260065,97
2022-01-22;08;3;45577,73
2022-01-22;09;4;371855,22
2022-01-22;10;2;443030,69
2022-01-22;11;2;981957,91
2022-01-22;12;5;238360,36
2022-01-22;13;5;896325,83
2022-01-22;14;8;415559,75
2022-01-22;15;4;986225,5
2022-01-22;16;5;8797099,48
2022-01-22;17;7;115484,97
2022-01-22;18;5;2414479,42
2022-01-22;19;7;316780,26
2022-01-22;20;4;80076,65
2022-01-22;21;5;688199,63
2022-01-22;22;7;1405077,28
2022-01-22;23;3;18519401,89
2022-01-22;24;7;3732255,42
2022-01-22;25;8;3915540,01
2022-01-22;26;4;7004800,21
2022-01-22;27;8;458573,28
2022-01-22;28;8;149258,25
2022-01-22;29;2;722052,05
2022-01-22;30;3;5860690,08
2022-01-22;31;1;6546004,15
2022-01-22;32;1;1672163,57
2022-01-22;33;1;1080997,17
2022-01-22;34;3;3094914,81
2022-01-22;35;2;1297790,37
2022-01-22;36;1;4890300,14
2022-01-22;37;1;708687,68
2022-01-22;38;7;1992197,77
2022-01-22;39;2;368352,25
2022-01-22;40;1;3009432,15
2022-01-22;42;7;1308441,75
2022-01-22;43;5;744002,76
2022-01-22;44;1;723113,26
2022-01-22;45;6;579833,39
2022-01-22;46;1;1094116,78
2022-01-22;47;2;2568705,7
2022-01-22;48;1;3283970,4
2022-01-22;49;8;115932,58
2022-01-22;50;1;18036999,13
2022-01-22;51;2;324663,65
2022-01-22;52;5;3986454,94
2022-01-22;53;2;810952,66
2022-01-22;54;7;4524574,75
2022-01-22;55;7;1025751,09
2022-01-22;56;5;3731859,22
2022-01-22;57;1;1434631,5
2022-01-22;58;5;855733,11
2022-01-22;59;5;1455762,6
2022-01-22;60;2;526702,25
2022-01-22;61;3;15628509,47
2022-01-22;62;1;1062953,98
2022-01-22;63;5;7064106,62
2022-01-22;64;5;1610517,81
2022-01-22;65;8;178631,88
2022-01-22;66;6;5527880,44
2022-01-22;67;1;861305,42
2022-01-22;68;1;1694323,45
2022-01-22;69;1;1413299,54
2022-01-22;70;7;591374,11
2022-01-22;71;1;3583917,92
2022-01-22;72;6;1565767,26
2022-01-22;73;5;4876420,67
2022-01-22;74;6;3905499,01
2022-01-22;75;8;1153992,67
2022-01-22;76;1;3398018,91
2022-01-22;77;1;60961418,7
2022-01-22;78;2;11544198,12
2022-01-22;79;8;1056,25
2022-01-22;86;6;3097952,87
2022-01-22;87;8;113206,27
2022-01-22;89;6;687796,2
